file_a,file_b,hamming,cls_a,cls_b
benign (325).png,benign (8).png,0,benign,benign
benign (333).png,malignant (77).png,4,benign,malignant
benign (395).png,benign (411).png,2,benign,benign
benign (396).png,benign (413).png,2,benign,benign
benign (399).png,malignant (93).png,0,benign,malignant
benign (400).png,benign (412).png,2,benign,benign
benign (404).png,benign (415).png,4,benign,benign
benign (406).png,malignant (94).png,2,benign,malignant
benign (42).png,malignant (51).png,0,benign,malignant
benign (433).png,malignant (145).png,0,benign,malignant
benign (437).png,normal (34).png,2,benign,normal
benign (61).png,benign (94).png,2,benign,benign
benign (65).png,benign (99).png,2,benign,benign
benign (85).png,malignant (52).png,2,benign,malignant
malignant (10).png,malignant (112).png,2,malignant,malignant
malignant (109).png,malignant (13).png,4,malignant,malignant
malignant (110).png,malignant (12).png,4,malignant,malignant
malignant (114).png,malignant (123).png,4,malignant,malignant
malignant (114).png,malignant (14).png,4,malignant,malignant
malignant (116).png,malignant (18).png,0,malignant,malignant
malignant (118).png,malignant (119).png,4,malignant,malignant
malignant (123).png,malignant (14).png,2,malignant,malignant
malignant (17).png,malignant (88).png,2,malignant,malignant
malignant (4).png,malignant (5).png,2,malignant,malignant
malignant (8).png,malignant (9).png,0,malignant,malignant
malignant (96).png,malignant (97).png,2,malignant,malignant
normal (104).png,normal (107).png,0,normal,normal
normal (119).png,normal (30).png,2,normal,normal
normal (121).png,normal (31).png,0,normal,normal
normal (122).png,normal (25).png,2,normal,normal
normal (123).png,normal (29).png,2,normal,normal
normal (124).png,normal (27).png,2,normal,normal
normal (125).png,normal (22).png,0,normal,normal
normal (126).png,normal (28).png,4,normal,normal
normal (127).png,normal (32).png,4,normal,normal
normal (128).png,normal (24).png,2,normal,normal
normal (129).png,normal (35).png,2,normal,normal
normal (13).png,normal (5).png,2,normal,normal
normal (130).png,normal (26).png,2,normal,normal
normal (131).png,normal (19).png,2,normal,normal
normal (21).png,normal (63).png,2,normal,normal
normal (21).png,normal (64).png,2,normal,normal
normal (38).png,normal (43).png,2,normal,normal
normal (38).png,normal (50).png,2,normal,normal
normal (38).png,normal (53).png,2,normal,normal
normal (39).png,normal (48).png,4,normal,normal
normal (39).png,normal (56).png,4,normal,normal
normal (40).png,normal (46).png,4,normal,normal
normal (40).png,normal (59).png,2,normal,normal
normal (41).png,normal (44).png,2,normal,normal
normal (41).png,normal (47).png,2,normal,normal
normal (41).png,normal (61).png,4,normal,normal
normal (42).png,normal (45).png,2,normal,normal
normal (42).png,normal (49).png,2,normal,normal
normal (42).png,normal (62).png,2,normal,normal
normal (43).png,normal (50).png,0,normal,normal
normal (43).png,normal (53).png,4,normal,normal
normal (44).png,normal (47).png,2,normal,normal
normal (44).png,normal (61).png,4,normal,normal
normal (45).png,normal (49).png,0,normal,normal
normal (45).png,normal (62).png,0,normal,normal
normal (46).png,normal (59).png,4,normal,normal
normal (47).png,normal (61).png,4,normal,normal
normal (48).png,normal (56).png,4,normal,normal
normal (49).png,normal (62).png,0,normal,normal
normal (50).png,normal (53).png,4,normal,normal
normal (51).png,normal (52).png,4,normal,normal
normal (51).png,normal (54).png,2,normal,normal
normal (52).png,normal (54).png,2,normal,normal
normal (55).png,normal (67).png,4,normal,normal
normal (55).png,normal (68).png,2,normal,normal
normal (57).png,normal (67).png,4,normal,normal
normal (57).png,normal (68).png,4,normal,normal
normal (58).png,normal (60).png,0,normal,normal
normal (58).png,normal (69).png,2,normal,normal
normal (60).png,normal (69).png,2,normal,normal
normal (63).png,normal (64).png,0,normal,normal
normal (67).png,normal (68).png,4,normal,normal
normal (97).png,normal (98).png,0,normal,normal
